id,Vendor,Series,Model,Variant,VRAM_GB,Year_Released
1,AMD,RX,580,Base,8,2017
2,AMD,RX,590,Base,8,2018
3,NVIDIA,GTX,1650,Base,4,2019
4,NVIDIA,GTX,1650,Super,4,2019
5,NVIDIA,GTX,1660,Base,6,2019
6,NVIDIA,GTX,1660,Super,6,2019
7,NVIDIA,GTX,1660,Ti,6,2019
8,NVIDIA,RTX,2060,Base,6,2019
9,NVIDIA,RTX,2060,Super,8,2019
10,NVIDIA,RTX,2070,Base,8,2018
11,NVIDIA,RTX,2070,Super,8,2019
12,NVIDIA,RTX,2080,Base,8,2018
13,NVIDIA,RTX,2080,Super,8,2019
14,NVIDIA,RTX,2080,Ti,11,2018
15,Intel,Arc A,380,Base,6,2022
16,AMD,RX,5500,XT,8,2019
17,AMD,RX,5600,XT,6,2020
18,AMD,RX,5700,Base,8,2019
19,AMD,RX,5700,XT,8,2019
20,NVIDIA,RTX,3050,Base,8,2022
21,NVIDIA,RTX,3060,Base,8,2023
22,NVIDIA,RTX,3060,Base,12,2021
23,NVIDIA,RTX,3060,Ti,8,2020
24,AMD,RX,6600,Base,8,2021
25,AMD,RX,6600,XT,8,2021
26,AMD,RX,6700,XT,12,2021
27,AMD,RX,6750,XT,12,2022
28,Intel,Arc A,750,LE,8,2022
29,Intel,Arc A,770,Base,16,2022
30,Intel,Arc A,770,LE,16,2022
31,NVIDIA,RTX,3070,Base,8,2020
32,NVIDIA,RTX,3070,Ti,8,2021
33,AMD,RX,6800,Base,16,2020
34,AMD,RX,6800,XT,16,2020
35,NVIDIA,RTX,3080,Base,10,2020
36,NVIDIA,RTX,3080,Ti,12,2021
37,AMD,RX,6900,XT,16,2020
38,AMD,RX,6950,XT,16,2022
39,NVIDIA,RTX,3090,Base,24,2020
40,NVIDIA,RTX,3090,Ti,24,2022
41,AMD,RX,7600,Base,8,2023
42,AMD,RX,7600,XT,16,2024
43,NVIDIA,RTX,4060,Base,8,2023
44,NVIDIA,RTX,4060,Ti,8,2023
45,NVIDIA,RTX,4060,Ti,16,2023
46,AMD,RX,7700,XT,12,2023
47,AMD,RX,7800,XT,16,2023
48,AMD,RX,7900,GRE,16,2024
49,NVIDIA,RTX,4070,Base,12,2023
50,NVIDIA,RTX,4070,Super,12,2024
51,NVIDIA,RTX,4070,Ti,12,2023
52,NVIDIA,RTX,4070,Ti Super,16,2024
53,AMD,RX,7900,XT,20,2022
54,AMD,RX,7900,XTX,24,2022
55,NVIDIA,RTX,4080,Base,16,2022
56,NVIDIA,RTX,4080,Super,16,2024
57,AMD,RX,9060,Base,8,2025
58,AMD,RX,9060,XT,16,2025
59,AMD,RX,9070,Base,16,2025
60,AMD,RX,9070,XT,16,2025
61,NVIDIA,RTX,5060,Base,8,2025
62,NVIDIA,RTX,5060,Ti,8,2025
63,NVIDIA,RTX,5060,Ti,16,2025
64,NVIDIA,RTX,5070,Base,12,2025
65,NVIDIA,RTX,5070,Ti,16,2025
66,NVIDIA,RTX,5080,Base,16,2025
67,NVIDIA,RTX,5080,Super,16,2025
68,NVIDIA,RTX,5090,Base,32,2025
69,NVIDIA,RTX,4090,Base,24,2022
70,NVIDIA,RTX,4090,D,24,2023
71,NVIDIA,RTX,4090,Base,24,2022
